Id;pais;provincia_departamento;ciudad;property_type;operation_type;rooms;bedrooms;bathrooms;surface_total;currency;price
46;Argentina;Neuquen;Neuquen;Departamento;Venta;3;2;1;55;USD;120000
47;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;2;80;USD;72392
48;Argentina;Capital Federal;Palermo;Departamento;Venta;3;2;2;82;USD;205000
49;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;3;125;USD;110102
50;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;2;2;2;86;USD;97165
51;Argentina;Capital Federal;Colegiales;Departamento;Venta;2;1;1;41;USD;108000
52;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;3;148;USD;225709
53;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;4;280;USD;261492
54;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;4;4;4;300;USD;516102
55;Argentina;Buenos Aires Costa Atlantica;Villa Gesell;Departamento;Venta;2;1;1;30;USD;35000
56;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;76;USD;70190
57;Argentina;Bs.As. G.B.A. Zona Norte;Tigre;Departamento;Venta;2;1;1;55;USD;153000
58;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;4;3;3;120;USD;170000
59;Argentina;Santa Fe;Rosario;Departamento;Venta;2;1;1;34;USD;49500
60;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;2;96;USD;63309
61;Argentina;Santa Fe;Rosario;Departamento;Venta;2;1;1;35;USD;75000
62;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;86;USD;63309
63;Argentina;Capital Federal;Barrio Norte;Departamento;Venta;2;1;1;47;USD;142000
64;Argentina;Capital Federal;Chacarita;Departamento;Venta;4;3;1;95;USD;171000
65;Argentina;Bs.As. G.B.A. Zona Oeste;Ituzainga;Departamento;Venta;1;1;1;30;USD;45000
66;Argentina;Capital Federal;Caballito;Departamento;Venta;2;1;1;48;USD;124000
67;Argentina;Santa Fe;Rosario;Departamento;Venta;3;1;1;41;USD;66000
68;Colombia;Antioquia;Envigado;Apartamento;Venta;1;1;2;113;USD;230388
69;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;1;1;1;32;USD;71900
70;Argentina;Bs.As. G.B.A. Zona Norte;San Miguel;Departamento;Venta;2;1;1;38;USD;51000
71;Colombia;Atlantico;Barranquilla;Apartamento;Venta;2;2;2;78;USD;82576
72;Colombia;Antioquia;Medellin;Apartamento;Venta;2;2;2;64;USD;68814
73;Argentina;Capital Federal;Villa Urquiza;Departamento;Venta;2;1;1;45;USD;85000
74;Argentina;Capital Federal;Villa Crespo;Departamento;Venta;3;2;1;53;USD;145000
75;Argentina;Bs.As. G.B.A. Zona Sur;Lomas de Zamora;Departamento;Venta;3;2;1;70;USD;180000
76;Argentina;Capital Federal;Almagro;Departamento;Venta;1;1;1;26;USD;65000
77;Argentina;Bs.As. G.B.A. Zona Norte;San Miguel;Departamento;Venta;2;1;1;43;USD;75000
78;Argentina;Capital Federal;Villa Crespo;Departamento;Venta;4;3;1;100;USD;174500
79;Colombia;Antioquia;Sabaneta;Apartamento;Venta;3;3;2;80;USD;68814
80;Argentina;Capital Federal;Balvanera;Departamento;Venta;3;2;1;48;USD;120000
81;Argentina;Capital Federal;Recoleta;Departamento;Venta;5;3;2;125;USD;400000
82;Argentina;Santa Fe;Rosario;Departamento;Venta;2;1;1;34;USD;49500
83;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;5;309;USD;688137
84;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;1;42;USD;79900
85;Colombia;Antioquia;Envigado;Apartamento;Venta;3;3;2;123;USD;129370
86;Argentina;Capital Federal;Palermo;Departamento;Venta;1;1;1;46;USD;140000
87;Argentina;Capital Federal;Palermo;Departamento;Venta;3;2;3;102;USD;455000
88;Colombia;Bolivar;Cartagena;Apartamento;Venta;4;4;4;226;USD;454170
89;Argentina;Capital Federal;Barrio Norte;Departamento;Venta;4;3;3;223;USD;950000
90;Argentina;Santa Fe;Rosario;Departamento;Venta;2;1;1;41;USD;77000
91;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;84;USD;74319
92;Argentina;Bs.As. G.B.A. Zona Norte;Tigre;Departamento;Venta;2;1;2;70;USD;195000
93;Argentina;Neuquen;Neuquen;Departamento;Venta;3;2;1;80;USD;130000
94;Argentina;Capital Federal;Caballito;Departamento;Venta;3;2;1;50;USD;135000
95;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;3;130;USD;220204
96;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;2;57;USD;149500
97;Argentina;Santa Fe;San Lorenzo;Departamento;Venta;1;1;1;50;USD;85000
98;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;3;96;USD;77071
99;Argentina;Capital Federal;Caballito;Departamento;Venta;2;2;1;60;USD;149000
100;Argentina;Capital Federal;Balvanera;Departamento;Venta;4;3;2;95;USD;200000
101;Colombia;Atlantico;Barranquilla;Apartamento;Venta;2;2;2;92;USD;70190
102;Argentina;Buenos Aires Costa Atlantica;Pinamar;Departamento;Venta;3;2;2;65;USD;145000
103;Argentina;Buenos Aires Costa Atlantica;Villa Gesell;Departamento;Venta;2;1;1;40;USD;47500
104;Argentina;Capital Federal;Villa Crespo;Departamento;Venta;2;1;1;32;USD;79000
105;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;2;74;USD;54225
106;Argentina;Capital Federal;Recoleta;Departamento;Venta;2;1;1;44;USD;138000
107;Argentina;Capital Federal;Palermo;Departamento;Venta;2;1;2;63;USD;159000
108;Argentina;Buenos Aires Costa Atlantica;Villa Gesell;Departamento;Venta;2;1;1;50;USD;145000
109;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;2;2;1;83;USD;96339
110;Argentina;Cordoba;Cordoba;Departamento;Venta;5;1;1;50;USD;69000
111;Colombia;Antioquia;Envigado;Apartamento;Venta;3;3;2;79;USD;57803
112;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;3;91;USD;83074
113;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;2;72;USD;37159
114;Colombia;Antioquia;Bello;Apartamento;Venta;3;3;2;54;USD;41288
115;Argentina;Capital Federal;Villa Luro;Departamento;Venta;2;1;1;47;USD;92000
116;Argentina;Bs.As. G.B.A. Zona Oeste;Moran;Departamento;Venta;2;1;1;48;USD;85000
117;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;3;2;3;105;USD;280000
118;Colombia;Valle del Cauca;Cali;Apartamento;Venta;2;2;1;55;USD;41288
119;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;2;2;2;53;USD;53124
120;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;2;90;USD;145885
121;Argentina;Bs.As. G.B.A. Zona Sur;Quilmes;Departamento;Venta;3;2;1;55;USD;75000
122;Argentina;Capital Federal;Caballito;Departamento;Venta;2;1;1;29;USD;59000
123;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;2;2;2;56;USD;72942
124;Argentina;Capital Federal;Villa Crespo;Departamento;Venta;2;1;1;37;USD;80000
125;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;114;USD;59180
126;Argentina;Capital Federal;Almagro;Departamento;Venta;2;1;1;40;USD;115000
127;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;4;112;USD;203688
128;Argentina;Capital Federal;Parque Chacabuco;Departamento;Venta;2;1;1;28;USD;88000
129;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;5;243;USD;447847
130;Argentina;Bs.As. G.B.A. Zona Oeste;Moran;Departamento;Venta;2;1;1;39;USD;62500
131;Argentina;Buenos Aires Costa Atlantica;Pinamar;Departamento;Venta;3;2;1;29;USD;70000
132;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;3;294;USD;410129
133;Colombia;Huila;Palermo;Apartamento;Venta;1;1;1;47;USD;77071
134;Argentina;Capital Federal;Constitucion;Departamento;Venta;2;1;1;44;USD;85000
135;Argentina;Bs.As. G.B.A. Zona Sur;Avellaneda;Departamento;Venta;3;2;1;53;USD;117000
136;Argentina;Capital Federal;Palermo;Departamento;Venta;3;2;2;110;USD;500000
137;Argentina;Bs.As. G.B.A. Zona Norte;Pilar;Departamento;Venta;2;1;1;50;USD;103000
138;Argentina;Capital Federal;Belgrano;Departamento;Venta;2;1;1;71;USD;163873
139;Argentina;Capital Federal;Monserrat;Departamento;Venta;2;1;1;35;USD;73000
140;Colombia;Atlantico;Barranquilla;Apartamento;Venta;4;4;3;190;USD;101844
141;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;142;USD;137077
142;Argentina;Capital Federal;Palermo;Departamento;Venta;3;2;2;92;USD;575000
143;Colombia;Cundinamarca;Gachancipa;Apartamento;Venta;3;3;1;53;USD;38536
144;Argentina;Bs.As. G.B.A. Zona Sur;Avellaneda;Departamento;Venta;2;1;1;37;USD;64500
145;Argentina;Capital Federal;Congreso;Departamento;Venta;2;1;1;45;USD;110000
146;Argentina;Capital Federal;Recoleta;Departamento;Venta;2;1;1;37;USD;100000
147;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;3;176;USD;217506
148;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;78;USD;68814
149;Colombia;Valle del Cauca;Cali;Apartamento;Venta;2;2;2;56;USD;50922
150;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;4;3;2;110;USD;410000
151;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;3;138;USD;165015
152;Argentina;Bs.As. G.B.A. Zona Norte;Tigre;Departamento;Venta;3;2;3;90;USD;411000
153;Argentina;Santa Fe;Rosario;Departamento;Venta;4;2;1;58;USD;75000
154;Argentina;Capital Federal;Palermo;Departamento;Venta;1;1;1;43;USD;139500
155;Argentina;Capital Federal;Caballito;Departamento;Venta;2;1;1;42;USD;112000
156;Argentina;Capital Federal;Villa Crespo;Departamento;Venta;2;1;1;42;USD;114800
157;Argentina;Capital Federal;Belgrano;Departamento;Venta;1;1;1;36;USD;109000
158;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;2;2;2;70;USD;129721
159;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;2;58;USD;26149
160;Colombia;Cundinamarca;Funza;Apartamento;Venta;3;3;2;58;USD;46243
161;Argentina;Capital Federal;Barrio Norte;Departamento;Venta;2;1;1;35;USD;88000
162;Argentina;Bs.As. G.B.A. Zona Oeste;Tres de Febrero;Departamento;Venta;1;1;1;30;USD;69900
163;Colombia;Antioquia;La Estrella;Apartamento;Venta;2;2;1;58;USD;33031
164;Argentina;Buenos Aires Costa Atlantica;Pinamar;Departamento;Venta;2;1;1;25;USD;45000
165;Colombia;Valle del Cauca;Cali;Apartamento;Venta;2;2;2;55;USD;44041
166;Argentina;Capital Federal;Villa Crespo;Departamento;Venta;2;1;1;44;USD;118000
167;Argentina;Capital Federal;Recoleta;Departamento;Venta;3;2;2;69;USD;128000
168;Colombia;Antioquia;Bello;Apartamento;Venta;3;3;2;64;USD;58354
169;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;1;1;1;33;USD;60006
170;Argentina;Capital Federal;Almagro;Departamento;Venta;4;3;2;101;USD;230001
171;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;1;1;2;55;USD;85329
172;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;3;2;2;70;USD;160000
173;Argentina;Bs.As. G.B.A. Zona Norte;Pilar;Departamento;Venta;2;1;1;45;USD;78000
174;Argentina;Capital Federal;San Telmo;Departamento;Venta;4;2;1;76;USD;138000
175;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;3;2;1;60;USD;68000
176;Colombia;Antioquia;Medellin;Apartamento;Venta;4;4;3;162;USD;79824
177;Argentina;Bs.As. G.B.A. Zona Sur;Quilmes;Departamento;Venta;3;2;1;60;USD;48000
178;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;2;2;2;70;USD;89458
179;Argentina;Capital Federal;San Telmo;Departamento;Venta;3;2;2;70;USD;140000
180;Colombia;Risaralda;Pereira;Apartamento;Venta;1;1;2;88;USD;77071
181;Colombia;Antioquia;Itagui;Apartamento;Venta;3;3;2;88;USD;88081
182;Argentina;Capital Federal;Puerto Madero;Departamento;Venta;2;1;1;54;USD;650000
183;Argentina;Capital Federal;Palermo;Departamento;Venta;5;3;4;249;USD;2350000
184;Argentina;Capital Federal;Colegiales;Departamento;Venta;2;1;1;34;USD;115000
185;Argentina;Capital Federal;Liniers;Departamento;Venta;2;1;1;32;USD;55000
186;Argentina;Capital Federal;Recoleta;Departamento;Venta;1;1;1;20;USD;80000
187;Argentina;Buenos Aires Interior;Bahia Blanca;Departamento;Venta;2;1;1;40;USD;68000
188;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;3;3;2;77;USD;93000
189;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;1;1;2;80;USD;174511
190;Argentina;Capital Federal;Palermo;Departamento;Venta;3;2;1;52;USD;178000
191;Argentina;Capital Federal;Palermo;Departamento;Venta;3;2;1;58;USD;163000
192;Argentina;Capital Federal;Almagro;Departamento;Venta;2;1;1;42;USD;112000
193;Argentina;Capital Federal;Almagro;Departamento;Venta;2;1;1;40;USD;124000
194;Argentina;Rio Negro;San Carlos de Bariloche;Departamento;Venta;3;2;1;52;USD;120000
195;Colombia;Antioquia;Itagui;Apartamento;Venta;3;3;2;66;USD;46793
196;Argentina;Capital Federal;Palermo;Departamento;Venta;4;3;2;160;USD;950000
197;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;3;101;USD;63309
198;Argentina;Bs.As. G.B.A. Zona Oeste;Moran;Departamento;Venta;2;1;1;43;USD;90000
199;Argentina;Capital Federal;Belgrano;Departamento;Venta;3;2;2;88;USD;225000
200;Argentina;Capital Federal;Palermo;Departamento;Venta;3;2;2;99;USD;690000
201;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;3;100;USD;77071
202;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;112;USD;110983
203;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;3;115;USD;99092
204;Argentina;Capital Federal;Recoleta;Departamento;Venta;4;2;2;142;USD;860000
205;Argentina;Santa Fe;Rosario;Departamento;Venta;2;1;1;47;USD;95000
206;Colombia;Atlantico;Barranquilla;Apartamento;Venta;1;1;1;33;USD;35783
207;Argentina;Capital Federal;Balvanera;Departamento;Venta;2;1;1;40;USD;89000
208;Argentina;Buenos Aires Interior;Junin;Departamento;Venta;2;1;1;42;USD;67000
209;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;128;USD;132122
210;Argentina;Santa Fe;Rosario;Departamento;Venta;4;3;2;126;USD;567000
211;Colombia;Antioquia;Envigado;Apartamento;Venta;3;3;2;98;USD;110102
212;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;4;193;USD;239472
213;Argentina;Capital Federal;Almagro;Departamento;Venta;3;2;2;74;USD;183000
214;Argentina;Capital Federal;Recoleta;Departamento;Venta;1;1;1;37;USD;135000
215;Argentina;Capital Federal;Recoleta;Departamento;Venta;9;4;3;329;USD;899999
216;Argentina;Bs.As. G.B.A. Zona Norte;Tigre;Departamento;Venta;2;1;1;53;USD;145000
217;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;Departamento;Venta;3;1;1;34;USD;57000
218;Colombia;Antioquia;Sabaneta;Apartamento;Venta;3;3;2;80;USD;81200
219;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;3;82;USD;126617
220;Argentina;Capital Federal;Congreso;Departamento;Venta;3;2;1;43;USD;89000
221;Argentina;Capital Federal;Mataderos;Departamento;Venta;2;1;1;39;USD;80000
222;Argentina;Cordoba;Cordoba;Departamento;Venta;4;3;3;128;USD;180000
223;Argentina;Capital Federal;Villa Crespo;Departamento;Venta;2;1;1;54;USD;108000
224;Argentina;Capital Federal;Villa Santa Rita;Departamento;Venta;1;1;1;32;USD;115000
225;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;1;1;1;25;USD;40900
226;Argentina;Capital Federal;Villa Crespo;Departamento;Venta;5;3;3;170;USD;410000
227;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;3;2;1;70;USD;95000
228;Argentina;Capital Federal;Belgrano;Departamento;Venta;3;2;1;105;USD;350000
229;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;1;1;1;41;USD;66061
230;Argentina;Bs.As. G.B.A. Zona Norte;Tigre;Departamento;Venta;4;3;2;105;USD;289000
231;Argentina;Capital Federal;Palermo;Departamento;Venta;1;1;1;51;USD;145000
232;Argentina;Santa Fe;Rosario;Departamento;Venta;6;2;1;61;USD;80000
233;Argentina;Santa Fe;Rosario;Departamento;Venta;2;1;1;43;USD;82500
234;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;4;134;USD;168443
235;Argentina;Capital Federal;Balvanera;Departamento;Venta;3;2;1;43;USD;78000
236;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;3;2;1;40;USD;98000
237;Colombia;Antioquia;Medellin;Apartamento;Venta;3;3;3;202;USD;217451
238;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;2;55;USD;99900
239;Argentina;Santa Fe;Rosario;Departamento;Venta;5;2;1;121;USD;115000
240;Argentina;Capital Federal;Almagro;Departamento;Venta;4;3;1;100;USD;174500
241;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;3;2;1;55;USD;119900
242;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;4;4;5;318;USD;660611
243;Colombia;Bolivar;Cartagena;Apartamento;Venta;2;2;1;53;USD;68814
244;Argentina;Bs.As. G.B.A. Zona Oeste;Moreno;Departamento;Venta;3;2;3;90;USD;130000
245;Argentina;Capital Federal;Belgrano;Departamento;Venta;1;1;1;38;USD;100277
246;Colombia;Valle del Cauca;Jamunda;Apartamento;Venta;3;3;3;102;USD;88081
247;Argentina;Capital Federal;Constitucion;Departamento;Venta;3;2;1;54;USD;58000
248;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;2;2;2;69;USD;107349
249;Colombia;Valle del Cauca;Jamunda;Apartamento;Venta;3;3;3;111;USD;96339
250;Argentina;Capital Federal;San Nicolas;Departamento;Venta;1;1;1;19;USD;59000
251;Argentina;Capital Federal;Puerto Madero;Departamento;Venta;3;2;3;192;USD;1090000
252;Colombia;Cundinamarca;Chia;Apartamento;Venta;3;3;2;61;USD;49271
253;Colombia;Antioquia;Medellin;Apartamento;Venta;3;3;2;75;USD;74319
254;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;1;1;1;32;USD;55900
255;Argentina;Cordoba;Cordoba;Departamento;Venta;3;2;2;80;USD;135000
256;Argentina;Neuquen;Neuquen;Departamento;Venta;4;2;1;60;USD;168000
257;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;1;50;USD;54500
258;Colombia;Santander;Bucaramanga;Apartamento;Venta;3;3;3;140;USD;104597
259;Argentina;Bs.As. G.B.A. Zona Sur;Avellaneda;Departamento;Venta;3;3;1;62;USD;99900
260;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;1;68;USD;44041
261;Argentina;Capital Federal;Recoleta;Departamento;Venta;2;1;1;35;USD;119000
262;Argentina;Capital Federal;Palermo;Departamento;Venta;4;3;2;195;USD;795000
263;Argentina;Bs.As. G.B.A. Zona Norte;Tigre;Departamento;Venta;2;1;1;67;USD;135000
264;Argentina;Capital Federal;Palermo;Departamento;Venta;2;1;1;38;USD;132000
265;Argentina;Capital Federal;Caballito;Departamento;Venta;2;1;1;38;USD;73000
266;Argentina;Capital Federal;Puerto Madero;Departamento;Venta;3;2;2;159;USD;1050000
267;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;1;1;2;67;USD;148637
268;Argentina;Santa Fe;Rosario;Departamento;Venta;2;1;1;35;USD;75000
269;Colombia;Antioquia;Bello;Apartamento;Venta;3;3;2;53;USD;48170
270;Argentina;Buenos Aires Costa Atlantica;Mar del Plata;Departamento;Venta;2;1;1;28;USD;45000
271;Argentina;Capital Federal;Palermo;Departamento;Venta;2;1;1;27;USD;88000
272;Argentina;Bs.As. G.B.A. Zona Norte;San Miguel;Departamento;Venta;2;1;1;40;USD;60000
273;Colombia;Antioquia;Bello;Apartamento;Venta;3;3;2;55;USD;41288
274;Argentina;Capital Federal;Once;Departamento;Venta;2;1;1;33;USD;68000
275;Argentina;Capital Federal;Recoleta;Departamento;Venta;7;4;3;249;USD;1500000
276;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;2;87;USD;77071
277;Argentina;Bs.As. G.B.A. Zona Norte;San Isidro;Departamento;Venta;3;2;1;77;USD;235000
278;Argentina;Capital Federal;Recoleta;Departamento;Venta;1;1;1;27;USD;79900
279;Argentina;Capital Federal;Recoleta;Departamento;Venta;2;1;1;23;USD;90000
280;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;2;82;USD;101844
281;Colombia;Atlantico;Barranquilla;Apartamento;Venta;1;1;2;63;USD;83050
282;Colombia;Antioquia;Bello;Apartamento;Venta;3;3;2;54;USD;50922
283;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;1;1;1;34;USD;75695
284;Colombia;Atlantico;Barranquilla;Apartamento;Venta;3;3;2;98;USD;68814
285;Argentina;Bs.As. G.B.A. Zona Norte;Pilar;Departamento;Venta;3;2;1;110;USD;95000
286;Argentina;Santa Fe;Rosario;Departamento;Venta;2;1;1;50;USD;105000
287;Colombia;Atlantico;Barranquilla;Apartamento;Venta;4;4;3;250;USD;187173
288;Argentina;Capital Federal;Villa Crespo;Departamento;Venta;2;1;1;42;USD;100000
289;Argentina;Capital Federal;Villa Crespo;Departamento;Venta;4;3;1;82;USD;185000
290;Argentina;Santa Fe;Rosario;Departamento;Venta;1;1;1;24;USD;40000
291;Argentina;Bs.As. G.B.A. Zona Norte;Tigre;Departamento;Venta;4;3;2;93;USD;320000
292;Argentina;Capital Federal;Recoleta;Departamento;Venta;7;4;3;248;USD;790000
293;Colombia;Cundinamarca;Bogota D.C;Apartamento;Venta;3;3;4;231;USD;536746
294;Argentina;Santa Fe;Rosario;Departamento;Venta;3;2;1;69;USD;123000
295;Colombia;Valle del Cauca;Cali;Apartamento;Venta;3;3;2;63;USD;49546
296;Argentina;Capital Federal;Chacarita;Departamento;Venta;2;1;1;40;USD;99000
297;Colombia;Antioquia;Medellin;Apartamento;Venta;3;3;2;96;USD;104597
298;Argentina;Bs.As. G.B.A. Zona Norte;Pilar;Departamento;Venta;2;1;1;43;USD;91000
299;Colombia;Cundinamarca;Madrid;Apartamento;Venta;3;3;2;46;USD;41288
300;Argentina;Capital Federal;Palermo;Departamento;Venta;2;1;1;42;USD;97400
301;Argentina;Bs.As. G.B.A. Zona Norte;San Isidro;Departamento;Venta;3;2;1;90;USD;450000
